distribution,mode,ncut,T,eps,eta,v_el,nu_tilde,va,tr_c,w,z_star_raw,z_star_max,z_star_used,z_star_clipped,chi_be,i_ab,skr_raw,skr,status
mb,fixed,150,0.05,0.0,0.95,0.005,0.1,2.6550162256253156,3.1151139191044,5.3037823195646036e-05,1.393121296154644,2.034753693895963,1.393121296154644,False,0.23399650411255735,0.062307050365236025,-0.17480480626558312,0.0,physical
mb,tuned_va,150,0.05,0.0,0.95,0.005,0.13122448979591836,2.030854304763907,2.4809695228750623,5.339213276387021e-06,1.1095233006507716,1.8271878612668724,1.1095233006507716,False,0.15536217182334466,0.04789951703052375,-0.1098576306443471,0.0,physical
binomial,fixed,45,0.05,0.0,0.95,0.01,,1.9999999934896104,2.449414721888183,8.486109086731915e-05,1.0954115646461438,1.8165902102185878,1.0954115646461438,False,0.1517332458984446,0.04710247520463027,-0.10698589445404585,0.0,physical
uniform,fixed,150,0.05,0.0,0.95,0.01,,1.9999999999999998,2.4315340814046555,0.029743947883528115,1.0874150991256635,1.8165902124584952,1.0874150991256635,False,0.1493328880695477,0.047102475355482065,-0.10458553648183974,0.0,physical
mb,fixed,150,0.05,0.0,0.95,0.01,0.1,2.6550162256253156,3.1151139191044,5.3037823195646036e-05,1.393121296154644,2.034753693895963,1.393121296154644,False,0.23399650411255735,0.062200529830051206,-0.1749060007740087,0.0,physical
mb,tuned_va,150,0.05,0.0,0.95,0.01,0.13122448979591836,2.030854304763907,2.4809695228750623,5.339213276387021e-06,1.1095233006507716,1.8271878612668724,1.1095233006507716,False,0.15536217182334466,0.04781722109592824,-0.10993581178221284,0.0,physical
binomial,fixed,45,0.05,0.0,0.95,0.015,,1.9999999934896104,2.449414721888183,8.486109086731915e-05,1.0954115646461438,1.8165902102185878,1.0954115646461438,False,0.1517332458984446,0.047021667619199174,-0.1070626616602054,0.0,physical
uniform,fixed,150,0.05,0.0,0.95,0.015,,1.9999999999999998,2.4315340814046555,0.029743947883528115,1.0874150991256635,1.8165902124584952,1.0874150991256635,False,0.1493328880695477,0.04702166776979648,-0.10466230368824105,0.0,physical
mb,fixed,150,0.05,0.0,0.95,0.015,0.1,2.6550162256253156,3.1151139191044,5.3037823195646036e-05,1.393121296154644,2.034753693895963,1.393121296154644,False,0.23399650411255735,0.06209437294577829,-0.17500684981406797,0.0,physical
mb,tuned_va,150,0.05,0.0,0.95,0.015,0.13122448979591836,2.030854304763907,2.4809695228750623,5.339213276387021e-06,1.1095233006507716,1.8271878612668724,1.1095233006507716,False,0.15536217182334466,0.04773520748658474,-0.11001372471108917,0.0,physical
binomial,fixed,45,0.05,0.0,0.95,0.02,,1.9999999934896104,2.449414721888183,8.486109086731915e-05,1.0954115646461438,1.8165902102185878,1.0954115646461438,False,0.1517332458984446,0.046941136845450177,-0.10713916589526695,0.0,physical
uniform,fixed,150,0.05,0.0,0.95,0.02,,1.9999999999999998,2.4315340814046555,0.029743947883528115,1.0874150991256635,1.8165902124584952,1.0874150991256635,False,0.1493328880695477,0.04694113699579355,-0.10473880792354383,0.0,physical
mb,fixed,150,0.05,0.0,0.95,0.02,0.1,2.6550162256253156,3.1151139191044,5.3037823195646036e-05,1.393121296154644,2.034753693895963,1.393121296154644,False,0.23399650411255735,0.061988577853100475,-0.1751073551521119,0.0,physical
mb,tuned_va,150,0.05,0.0,0.95,0.02,0.13122448979591836,2.030854304763907,2.4809695228750623,5.339213276387021e-06,1.1095233006507716,1.8271878612668724,1.1095233006507716,False,0.15536217182334466,0.0476534747520274,-0.11009137080891863,0.0,physical
