case_id,case_type,pair,x,y,repetition,scheme,I_AB,chi_BE,beta_I_AB,K_raw_mean,K_raw_median,K_raw_p05,outage_probability,entropy,finite,channel_seed,awgn_seed,channel_hash,noise_hash
2,best,V_a,40.0,0.1,6,MB-global-opt,0.13009221165390195,0.0836138456201469,0.12358760107120684,0.039973755451059946,0.02606775985237643,0.00012919439384194705,0.0,4.380495360181545,True,930006,930007,d62fd7a9ed79a2a4,90357450bfb3a231
2,best,V_a,40.0,0.1,6,PS+GS,0.12934322333727266,0.08372060274206876,0.12287606217040903,0.03915545942834026,0.024858565453305462,0.00013703677531257114,0.0,6.408923689874859,True,930006,930007,d62fd7a9ed79a2a4,90357450bfb3a231
2,best,V_a,40.0,0.1,7,MB-global-opt,0.18141747095336064,0.11369603901440456,0.17234659740569258,0.058650558391288035,0.055388826463196775,0.008682676123568822,0.0,4.380495360181545,True,930007,930008,39646e287a45bd0e,fe18f7222c816a73
2,best,V_a,40.0,0.1,7,PS+GS,0.17876193960520698,0.11384243819208373,0.1698238426249466,0.05598140443286289,0.04871175598216372,0.008270840148959745,0.0,6.408923689874859,True,930007,930008,39646e287a45bd0e,fe18f7222c816a73
2,best,V_a,40.0,0.1,8,MB-global-opt,0.11566851563862784,0.07336873365346382,0.10988508985669644,0.03651635620323263,0.014691066289603948,0.0011483618864108977,0.0,4.380495360181545,True,930008,930009,861ce05000758ea1,8981b315c25cb4ee
2,best,V_a,40.0,0.1,8,PS+GS,0.11384519211473726,0.07346235335532593,0.10815293250900039,0.03469057915367446,0.015220685406420763,0.0011111012826206966,0.0,6.408923689874859,True,930008,930009,861ce05000758ea1,8981b315c25cb4ee
2,best,V_a,40.0,0.1,9,MB-global-opt,0.13154495219525525,0.08628595126193196,0.12496770458549249,0.03868175332356052,0.022828184370805513,0.007858147585536112,0.0,4.380495360181545,True,930009,930010,2a375bf2750f2227,8a772055131fc3bf
2,best,V_a,40.0,0.1,9,PS+GS,0.13174875428290694,0.08639492348223343,0.1251613165687616,0.038766393086528156,0.02232820380283522,0.0069052192095874765,0.0,6.408923689874859,True,930009,930010,2a375bf2750f2227,8a772055131fc3bf
3,failure,V_a,31.25,0.25,0,MB-global-opt,0.4426294305596842,0.24422827770722721,0.42049795903169995,0.17626968132447274,0.19984585685792192,0.0728852373294803,0.0,4.380495360181545,True,940000,940001,5b2f48634fcc48cd,51e3806047b10ff6
3,failure,V_a,31.25,0.25,0,PS+GS,0.44178851912733264,0.24463969051610276,0.419699093170966,0.17505940265486322,0.19946541272122978,0.06874936592899508,0.0,6.408923689874859,True,940000,940001,5b2f48634fcc48cd,51e3806047b10ff6
3,failure,V_a,31.25,0.25,1,MB-global-opt,0.42957564732501513,0.23594913498953415,0.40809686495876435,0.1721477299692302,0.17783611152845927,0.0295715717017905,0.0,4.380495360181545,True,940001,940002,388ed779149aa5ec,f8c4aed7ab02a0e1
3,failure,V_a,31.25,0.25,1,PS+GS,0.42751431815988017,0.23635140843031782,0.40613860225188614,0.16978719382156834,0.17130933295820905,0.02870784787897618,0.0,6.408923689874859,True,940001,940002,388ed779149aa5ec,f8c4aed7ab02a0e1
