pair,x,y,winner,best_learned,K_MB_global,K_best_learned,Delta_K_learned_vs_MB_global,Delta_I_AB,Delta_chi_BE,gain_source,MB_outage,learned_outage,Delta_outage,learned_K_p05,MB_K_p05,exploratory_ncut,repetitions
V_a,5.0,0.2,PS+GS,PS+GS,0.0007560299736698748,0.0007580446707567429,2.014697086868099e-06,5.332889312111618e-06,3.0515477596380035e-06,Mixed/none,0.0,0.0,0.0,0.00016100720583303325,0.00013367406136747249,64,3
V_a,13.75,0.2,MB-global-opt,PS+GS,0.04874786618920454,0.046302887757192164,-0.0024449784320123777,-0.0024436471450003105,0.0001235136442620799,No positive gain,0.0,0.0,0.0,0.007428545197925149,0.007942948815656678,64,3
V_a,22.5,0.2,PS+GS,PS+GS,0.08463229140343763,0.08728967023424583,0.002657378830808202,0.0030375239860855885,0.00022826895597310992,Mixed/none,0.0,0.0,0.0,0.014646612714209377,0.014782996776484729,64,3
V_a,31.25,0.2,PS+GS,PS+GS,0.16054002173709456,0.16116952163269996,0.000629499895605401,0.0010502566090990206,0.00036824388303874356,Mixed/none,0.0,0.0,0.0,0.07032531150719747,0.06332919510285752,64,3
V_a,40.0,0.2,MB-global-opt,PS+GS,0.12703608121878907,0.12444952958900264,-0.002586551629786424,-0.0024076604166727855,0.0002992742339471832,No positive gain,0.0,0.0,0.0,0.020327894533487035,0.01878176853919423,64,3
V_a,5.0,0.25,MB-global-opt,PS+GS,0.0011617516385126552,0.0011594706098559781,-2.2810286566771025e-06,2.451255893931581e-06,4.609721755912018e-06,No positive gain,0.0,0.0,0.0,0.0007352225975902583,0.0007305309445927805,64,3
V_a,13.75,0.25,PS+GS,PS+GS,0.057171179187626466,0.05721775996514694,4.658077752047601e-05,0.00020983895089751736,0.00015276622583215715,Mixed/none,0.0,0.0,0.0,0.025656459140954897,0.02221664731488861,64,3
V_a,22.5,0.25,MB-global-opt,PS+GS,0.13564879708874808,0.13482694898273886,-0.0008218481060092153,-0.0005235835892321017,0.00032444369623871316,No positive gain,0.0,0.0,0.0,0.06904827582764418,0.057480658709707345,64,3
V_a,31.25,0.25,MB-global-opt,PS+GS,0.17533824679456203,0.17200962297049424,-0.003328623824067789,-0.00309134723157084,0.00039184395407546035,No positive gain,0.0,0.0,0.0,0.04562799778929013,0.044068902961089645,64,3
V_a,40.0,0.25,PS+GS,PS+GS,0.1887597237368588,0.1997818062918345,0.01102208255497572,0.01209620967044478,0.0004693166319468256,Mixed/none,0.0,0.0,0.0,0.06652297051940607,0.06902342479557433,64,3
