sample_id,distance_km,r_i,T_i
160,19.0000000000,43.4680221270,0.0000000000
161,19.0000000000,115.2476496340,0.0000000000
162,19.0000000000,98.5847667071,0.0000000000
163,19.0000000000,53.3756336297,0.0000000000
164,19.0000000000,66.2289261873,0.0000000000
165,19.0000000000,86.1306644404,0.0000000000
166,19.0000000000,137.0942175047,0.0000000000
167,19.0000000000,59.5396205712,0.0000000000
168,19.0000000000,87.0000337671,0.0000000000
169,19.0000000000,59.1950664972,0.0000000000
170,19.0000000000,54.8699396052,0.0000000000
171,19.0000000000,145.2850454043,0.0000000000
172,19.0000000000,74.2053604058,0.0000000000
173,19.0000000000,115.1143695157,0.0000000000
174,19.0000000000,54.7240656244,0.0000000000
175,19.0000000000,42.9010315020,0.0000000000
176,19.0000000000,106.3116550367,0.0000000000
177,19.0000000000,118.4199028547,0.0000000000
178,19.0000000000,96.9917116523,0.0000000000
179,19.0000000000,108.3827006977,0.0000000000
180,19.0000000000,100.3982024442,0.0000000000
181,19.0000000000,103.9376408475,0.0000000000
182,19.0000000000,149.3526738411,0.0000000000
183,19.0000000000,167.1328469630,0.0000000000
184,19.0000000000,80.9499290065,0.0000000000
185,19.0000000000,29.9627381060,0.0000000000
186,19.0000000000,117.8454318158,0.0000000000
187,19.0000000000,91.4966429535,0.0000000000
188,19.0000000000,155.3841542762,0.0000000000
189,19.0000000000,101.6527154601,0.0000000000
190,19.0000000000,37.2522160625,0.0000000000
191,19.0000000000,101.8828216523,0.0000000000
192,19.0000000000,75.2552960056,0.0000000000
193,19.0000000000,33.7501826092,0.0000000000
194,19.0000000000,52.0507216735,0.0000000000
195,19.0000000000,185.4439428813,0.0000000000
196,19.0000000000,63.1369532128,0.0000000000
197,19.0000000000,50.5308517253,0.0000000000
198,19.0000000000,66.2847471316,0.0000000000
199,19.0000000000,143.0137383173,0.0000000000
200,19.0000000000,103.7890570458,0.0000000000
201,19.0000000000,44.2261586957,0.0000000000
202,19.0000000000,8.9680940023,0.0000000000
203,19.0000000000,65.8292653760,0.0000000000
204,19.0000000000,38.6030516271,0.0000000000
205,19.0000000000,143.0174637080,0.0000000000
206,19.0000000000,32.4731823795,0.0000000000
207,19.0000000000,82.2764124971,0.0000000000
208,19.0000000000,100.3329002112,0.0000000000
209,19.0000000000,168.5045575760,0.0000000000
210,19.0000000000,53.6076827899,0.0000000000
211,19.0000000000,131.0441453626,0.0000000000
212,19.0000000000,86.9206532994,0.0000000000
213,19.0000000000,130.8265420745,0.0000000000
214,19.0000000000,59.5238053633,0.0000000000
215,19.0000000000,57.3775128894,0.0000000000
216,19.0000000000,50.0075593060,0.0000000000
217,19.0000000000,101.6246547196,0.0000000000
218,19.0000000000,80.1682121601,0.0000000000
219,19.0000000000,92.5654949874,0.0000000000
220,19.0000000000,112.6560641058,0.0000000000
221,19.0000000000,106.8532584921,0.0000000000
222,19.0000000000,101.6928490070,0.0000000000
223,19.0000000000,117.6359268687,0.0000000000
224,19.0000000000,18.4578808146,0.0000000000
225,19.0000000000,122.0196758731,0.0000000000
226,19.0000000000,113.4254886085,0.0000000000
227,19.0000000000,65.8773117141,0.0000000000
228,19.0000000000,48.7000148621,0.0000000000
229,19.0000000000,83.8469563007,0.0000000000
230,19.0000000000,141.5654922441,0.0000000000
231,19.0000000000,56.7846787959,0.0000000000
232,19.0000000000,119.0795583725,0.0000000000
233,19.0000000000,171.3876910517,0.0000000000
234,19.0000000000,62.8147018855,0.0000000000
235,19.0000000000,206.3214923099,0.0000000000
236,19.0000000000,24.4441151812,0.0000000000
237,19.0000000000,19.1802403880,0.0000000000
238,19.0000000000,135.5540022445,0.0000000000
239,19.0000000000,79.9062575358,0.0000000000
240,19.0000000000,77.4324723706,0.0000000000
241,19.0000000000,139.2217743666,0.0000000000
242,19.0000000000,156.4796518695,0.0000000000
243,19.0000000000,90.3040557220,0.0000000000
244,19.0000000000,144.3632786279,0.0000000000
245,19.0000000000,99.9843378039,0.0000000000
246,19.0000000000,70.4351958578,0.0000000000
247,19.0000000000,49.0608050930,0.0000000000
248,19.0000000000,116.7078967706,0.0000000000
249,19.0000000000,145.5347912991,0.0000000000
250,19.0000000000,162.5237119641,0.0000000000
251,19.0000000000,54.6614845461,0.0000000000
252,19.0000000000,100.7399139936,0.0000000000
253,19.0000000000,71.2618969461,0.0000000000
254,19.0000000000,130.1406873613,0.0000000000
255,19.0000000000,46.7289144951,0.0000000000
256,19.0000000000,24.1490055525,0.0000000000
257,19.0000000000,59.7547203562,0.0000000000
258,19.0000000000,26.4398040003,0.0000000000
259,19.0000000000,68.2697877311,0.0000000000
260,19.0000000000,69.4747202264,0.0000000000
261,19.0000000000,33.4931601423,0.0000000000
262,19.0000000000,174.7651393994,0.0000000000
263,19.0000000000,54.6768382614,0.0000000000
264,19.0000000000,108.8116129407,0.0000000000
265,19.0000000000,44.5621605609,0.0000000000
266,19.0000000000,70.9462988005,0.0000000000
267,19.0000000000,29.8798748981,0.0000000000
268,19.0000000000,34.1444635779,0.0000000000
269,19.0000000000,10.5034457154,0.0000000000
270,19.0000000000,126.4171243004,0.0000000000
271,19.0000000000,59.2843733288,0.0000000000
272,19.0000000000,82.7792970269,0.0000000000
273,19.0000000000,92.7185885822,0.0000000000
274,19.0000000000,42.1775039634,0.0000000000
275,19.0000000000,170.3480661029,0.0000000000
276,19.0000000000,73.5398485832,0.0000000000
