parameter_name,parameter_value,parameter_unit,repetition,seed,Delta_K_PS_vs_Uniform,Delta_K_GS_vs_Uniform,Delta_K_PS+GS_vs_PS
excess_noise,0.006500000000000001,SNU,0,302026,0.017657080954450604,0.0011545151178255306,6.583150137036073e-05
excess_noise,0.006500000000000001,SNU,1,303026,0.017777144792180646,0.001160439810980159,6.615089124389212e-05
excess_noise,0.006500000000000001,SNU,2,304026,0.017529832015679387,0.0011486623355479245,6.544536909671231e-05
excess_noise,0.006500000000000001,SNU,3,305026,0.017674062058149857,0.0011570099934814018,6.572016172776834e-05
excess_noise,0.006500000000000001,SNU,4,306026,0.01845063393383872,0.0011973707557702395,6.855446896154513e-05
excess_noise,0.007,SNU,0,302026,0.018871819804114502,0.0012163391683958679,7.145077918390558e-05
excess_noise,0.007,SNU,1,303026,0.018200664029561685,0.001178619852256169,6.879108667713282e-05
excess_noise,0.007,SNU,2,304026,0.01764442488850724,0.0011414447073189275,6.659318612916784e-05
excess_noise,0.007,SNU,3,305026,0.018126658070006206,0.001165126892576568,6.834068946112021e-05
excess_noise,0.007,SNU,4,306026,0.017196507878430075,0.001110182002989962,6.50932026316324e-05
excess_noise,0.0075,SNU,0,302026,0.01944783181561869,0.0012461282596500116,7.453371637745551e-05
excess_noise,0.0075,SNU,1,303026,0.018490097695420857,0.0011765347521942304,7.099895652931676e-05
excess_noise,0.0075,SNU,2,304026,0.019473720471812988,0.001248435508757935,7.404917826512453e-05
excess_noise,0.0075,SNU,3,305026,0.018751726640400604,0.0012106103888845114,7.222639826565125e-05
excess_noise,0.0075,SNU,4,306026,0.018264348508846548,0.0011763495511580698,7.03615855952057e-05
excess_noise,0.008,SNU,0,302026,0.018591521062540205,0.0011649448400219958,7.177150012487726e-05
excess_noise,0.008,SNU,1,303026,0.01817466270817814,0.001152646275957311,6.99821902293285e-05
excess_noise,0.008,SNU,2,304026,0.019031476288549155,0.0012067162874741253,7.384505114566009e-05
excess_noise,0.008,SNU,3,305026,0.01828825473816991,0.0011655325071187042,7.114517548982222e-05
excess_noise,0.008,SNU,4,306026,0.019370669065564963,0.0012287888480276643,7.446572780349381e-05
excess_noise,0.0085,SNU,0,302026,0.019207970715164963,0.001198295427686259,7.518464031787755e-05
excess_noise,0.0085,SNU,1,303026,0.01932566785212901,0.0012130848765328217,7.620043184524555e-05
excess_noise,0.0085,SNU,2,304026,0.018315205133417046,0.00113879457504794,7.16600783626821e-05
excess_noise,0.0085,SNU,3,305026,0.01878976274022534,0.0011716260490655405,7.430076288578863e-05
excess_noise,0.0085,SNU,4,306026,0.01855003046526712,0.0011539628117884278,7.240077724721475e-05
excess_noise,0.009000000000000001,SNU,0,302026,0.018685488777392494,0.001138141089344553,7.473474420660944e-05
excess_noise,0.009000000000000001,SNU,1,303026,0.01980517968258757,0.001224296079443158,7.891206529438838e-05
excess_noise,0.009000000000000001,SNU,2,304026,0.018543531061521117,0.001136101829408943,7.386305127219869e-05
excess_noise,0.009000000000000001,SNU,3,305026,0.01889706493008494,0.0011453146740113742,7.466348312741566e-05
excess_noise,0.009000000000000001,SNU,4,306026,0.020227959192546094,0.0012473255323001654,7.99461577417164e-05
excess_noise,0.0095,SNU,0,302026,0.020743583043105633,0.0012770959912859598,8.309796549661741e-05
excess_noise,0.0095,SNU,1,303026,0.019347481837657582,0.0011633014360993184,7.752945020255558e-05
excess_noise,0.0095,SNU,2,304026,0.018245843435795737,0.0010889363370893018,7.301067108156714e-05
excess_noise,0.0095,SNU,3,305026,0.019569856639079175,0.0011971696155566773,7.852539937555636e-05
excess_noise,0.0095,SNU,4,306026,0.019448639184822352,0.0011743558936779105,7.795494653838053e-05
excess_noise,0.01,SNU,0,302026,0.01916025489467712,0.0011143478982806234,7.735198947528624e-05
excess_noise,0.01,SNU,1,303026,0.01846691865046976,0.0010855490749695357,7.512158939751781e-05
