T,epsilon,SNR_dB,scheme,mean_I_AB,mean_chi_BE,mean_K_raw,std_K_raw,ci95_low,ci95_high,mean_K_positive,mean_entropy,outage_probability,repetitions
0.01467799267622069,0.025,-15.323830125007182,PS,0.020829018655823244,0.01719802036213136,0.00258954736090072,0.0004897418594960283,0.0013729611387189812,0.003806133583082459,0.00258954736090072,6.408923689874858,0.0,3
0.01467799267622069,0.025,-15.323830125007182,PS+GS,0.02082901229424028,0.017170299985610482,0.0026172616939177822,0.0004896953558735024,0.0014007909931384914,0.003833732394697073,0.0026172616939177822,6.408923689874858,0.0,3
0.021544346900318822,0.025,-13.657536126441345,GS,0.03074839530023758,0.033035216219997166,-0.0038242406847714683,0.0005712592380749895,-0.005243327301241724,-0.0024051540683012124,0.0,8.0,1.0,3
0.021544346900318822,0.025,-13.657536126441345,MB-fixed,0.03171630015079755,0.024956933249131952,0.0051735518941257224,0.0018085623582188121,0.000680833936077937,0.009666269852173507,0.0051735518941257224,6.408923689874861,0.0,3
0.021544346900318822,0.025,-13.657536126441345,MB-global-opt,0.03208746219410763,0.02474583466683833,0.005737254417563919,0.0029293041552417905,-0.0015395405035689797,0.013014049338696817,0.005737254417563919,4.7380473561634675,0.0,3
0.021544346900318822,0.025,-13.657536126441345,PS,0.031716300150799036,0.02495693324913084,0.005173551894128238,0.0018085623582192727,0.0006808339360793083,0.009666269852177167,0.005173551894128238,6.408923689874858,0.0,3
0.021544346900318822,0.025,-13.657536126441345,PS+GS,0.03171626761873636,0.024918099822236917,0.005212354415562625,0.0018085646841397942,0.0007196306796068133,0.009705078151518436,0.005212354415562625,6.408923689874858,0.0,3
0.03162277660168379,0.025,-11.99141640382958,GS,0.04455727194095349,0.04735362197623538,-0.005024213632329568,0.0005125147132067757,-0.006297370759217647,-0.0037510565054414886,0.0,8.0,1.0,3
0.03162277660168379,0.025,-11.99141640382958,MB-fixed,0.04550638347152436,0.03612617948174379,0.007104884816204346,0.0002795598290663826,0.006410419702138675,0.007799349930270017,0.007104884816204346,6.408923689874861,0.0,3
0.03162277660168379,0.025,-11.99141640382958,MB-global-opt,0.04627012971074418,0.035830677833686986,0.00812594539151998,0.0010802410489865676,0.005442477863984966,0.010809412919054994,0.00812594539151998,4.7380473561634675,0.0,3
