stage,point_index,T,epsilon,SNR_dB,scheme,repetition,I_AB,chi_BE,beta_I_AB,K_raw,K_positive,entropy,outage,noise_seed,ncut,awgn_samples,case_id,case_type,oracle_nu
confirmation,0,0.1,0.03,-6.9962095796561385,MB-global-opt,5,0.13578493473814923,0.10799463093903161,0.12899568800124175,0.021001057062210143,0.021001057062210143,4.7380473561634675,0,1240005,150,512,0,best_overall,0.15
confirmation,1,0.06812920690579609,0.015,-8.658585253667717,MB-global-opt,5,0.09302144350875086,0.07048725702455805,0.08837037133331331,0.017883114308755263,0.017883114308755263,4.7380473561634675,0,1240005,150,512,1,best_overall,0.23
confirmation,2,0.03162277660168379,0.0,-11.989700043360187,MB-global-opt,5,0.04447721959193718,0.03071638408634536,0.042253358612340315,0.011536974525994954,0.011536974525994954,4.7380473561634675,0,1240005,150,512,2,best_overall,0.5
confirmation,3,3.1622776602e-05,0.03,-41.98970210335588,MB-global-opt,5,4.525657444087727e-05,4.231656801634287e-05,4.299374571883341e-05,6.771777024905403e-07,6.771777024905403e-07,4.7380473561634675,0,1240005,150,512,3,near_threshold,0.15
confirmation,4,1.4677992676e-05,0.025,-45.323034173580155,MB-global-opt,5,2.1649037483584266e-05,1.906889696989822e-05,2.0566585609405053e-05,1.497688639506834e-06,1.497688639506834e-06,4.7380473561634675,0,1240005,150,512,4,near_threshold,0.37
confirmation,5,1.2115276586e-05,0.025,-46.156367367829006,MB-global-opt,5,1.7445905509561044e-05,1.578171546512408e-05,1.657361023408299e-05,7.918947689589104e-07,7.918947689589104e-07,4.7380473561634675,0,1240005,150,512,5,near_threshold,0.35
confirmation,6,0.004641588833613,0.025,-20.32328534643597,MB-global-opt,5,0.006652306672145336,0.005527563688731529,0.006319691338538069,0.0007921276498065394,0.0007921276498065394,4.7380473561634675,0,1240005,150,512,6,failure,0.3
confirmation,7,0.004641588833613,0.03,-20.323335738630295,MB-global-opt,5,0.006634518908643194,0.005689845467135468,0.006302792963211034,0.000612947496075566,0.000612947496075566,4.7380473561634675,0,1240005,150,512,7,failure,0.33
confirmation,8,0.002154434690032,0.01,-23.65641349272952,MB-global-opt,5,0.0031359963818289316,0.0023450300263356816,0.002979196562737485,0.0006341665364018034,0.0006341665364018034,4.7380473561634675,0,1240005,150,512,8,failure,0.32
confirmation,0,0.1,0.03,-6.9962095796561385,PS,5,0.13627665804149913,0.10885544238423872,0.12946282513942417,0.02060738275518545,0.02060738275518545,6.408923689874859,0,1240005,150,512,0,best_overall,0.15
