SNR_band,SNR_dB,T,epsilon,delta_K,K_MB,K_joint
low,-25.323073217580934,0.0014677992676220691,0.0125,5.591580140225838e-05,0.0002711791950280002,0.00032709499643025856
medium,-23.65642518832674,0.002154434690031882,0.0125,-6.934317841740881e-06,0.0006109574352536413,0.0006040231174119004
medium,-21.989785877495596,0.0031622776601683794,0.0125,0.00011752957216573103,0.0005917391321154023,0.0007092687042811333
medium,-20.323159363392204,0.004641588833612777,0.0125,-8.801549258220884e-05,0.001260418704247534,0.001172403211665325
medium,-18.656551631956177,0.006812920690579608,0.0125,-0.00013430112716063323,0.0019407641043771128,0.0018064629772164796
medium,-16.98997146892942,0.01,0.0125,-0.00037459680787435687,0.0030845765294102833,0.0027099797215359264
medium,-15.32343176912159,0.01467799267622069,0.0125,0.00040669513279887335,0.00360411346752715,0.0040108086003260235
high,-13.656951457594914,0.021544346900318822,0.0125,0.0006909496206588392,0.004891279634110141,0.00558222925476898
high,-11.990558308384509,0.03162277660168379,0.0125,-0.0007597387235952126,0.00988179246810728,0.009122053744512068
high,-10.324293079244004,0.046415888336127774,0.0125,-0.0009211523562433956,0.01619081459775103,0.015269662241507635
saturation/highest,-8.658215575087919,0.06812920690579609,0.0125,-0.0019231378572155816,0.0214011931719523,0.019478055314736717
saturation/highest,-6.992413535993938,0.1,0.0125,-0.0007656960160130552,0.03322396331172666,0.032458267295713605
very low,-46.989700369081035,1e-05,0.015,-2.4985041117512675e-07,2.092567480049822e-06,1.8427170688746952e-06
very low,-45.32303385478634,1.4677992676220705e-05,0.015,-8.429719234352234e-07,3.4840634601499907e-06,2.6410915367147673e-06
very low,-43.65636741177112,2.1544346900318823e-05,0.015,-3.9015367510053505e-07,4.478429015408735e-06,4.0882753403082e-06
very low,-41.98970107337986,3.1622776601683795e-05,0.015,-1.096360978595586e-07,6.062854638629507e-06,5.953218540769949e-06
very low,-40.32303488855557,4.641588833612782e-05,0.015,-7.0126421419422e-07,1.0053358446926453e-05,9.352094232732233e-06
very low,-38.65636892913669,6.812920690579608e-05,0.015,-2.5706889792568667e-06,1.6702355405273645e-05,1.4131666426016779e-05
very low,-36.989703300567584,0.0001,0.015,-2.930719463467573e-06,2.2577742722088934e-05,1.964702325862136e-05
very low,-35.32303815761931,0.0001467799267622069,0.015,3.845000765186825e-08,2.5307134395443254e-05,2.5345584403095122e-05
low,-33.65637372746442,0.00021544346900318823,0.015,-3.0409421221418544e-06,4.510615780389432e-05,4.2065215681752465e-05
low,-31.989710343546008,0.00031622776601683794,0.015,2.7469729720230765e-06,5.670679176166259e-05,5.9453764733685666e-05
low,-30.32304849529034,0.00046415888336127773,0.015,-8.124441134708493e-06,0.00011794347475218752,0.00010981903361747903
low,-28.656388901074124,0.0006812920690579609,0.015,-4.81083334786801e-06,0.00015948138186271753,0.00015467054851484952
low,-26.989732615324186,0.001,0.015,-2.4638712158934583e-05,0.000269981209870466,0.0002453424977115314
low,-25.323081185714553,0.0014677992676220691,0.015,-6.355099224169717e-05,0.00043171557200367673,0.00036816457976197956
medium,-23.65643688389223,0.002154434690031882,0.015,1.9734814999091202e-05,0.0004564926511347285,0.0004762274661338197
medium,-21.98980304411911,0.0031622776601683794,0.015,-3.255143868029133e-05,0.0008278197869727794,0.0007952683482924881
medium,-20.32318456029337,0.004641588833612777,0.015,-0.00014399254614378223,0.001295665782646556,0.0011516732365027737
medium,-18.656588615397183,0.006812920690579608,0.015,2.9458105895615412e-05,0.0015607522963307912,0.0015902104022264066
medium,-16.990025752007693,0.01,0.015,-0.0005038343565818052,0.003167017966335924,0.0026631836097541187
medium,-15.323511443221896,0.01467799267622069,0.015,-6.902245057851608e-05,0.003393008239706407,0.003323985789127891
high,-13.657068397661254,0.021544346900318822,0.015,-0.0002443153288440719,0.005756018050462106,0.005511702721618034
high,-11.990729941037717,0.03162277660168379,0.015,0.00020712314229004956,0.007259697961021297,0.007466821103311347
high,-10.324544975913735,0.046415888336127774,0.015,-0.0005089211033659311,0.013297041712554513,0.012788120609188582
saturation/highest,-8.658585253667717,0.06812920690579609,0.015,0.0015881909330737725,0.014778212082825126,0.0163664030158989
saturation/highest,-6.992956031131615,0.1,0.015,-0.0016031325333135948,0.03010904883125536,0.028505916297941764
very low,-46.989700423367836,1e-05,0.0175,-4.598247673589144e-07,1.2286851571137913e-06,7.688603897548769e-07
very low,-45.32303393446846,1.4677992676220705e-05,0.0175,-8.062995935069025e-07,3.1055345207568295e-06,2.299234927249927e-06
very low,-43.65636752872849,2.1544346900318823e-05,0.0175,-6.535791372256724e-07,3.3911380891815653e-06,2.737558951955893e-06
very low,-41.98970124504979,3.1622776601683795e-05,0.0175,-6.961781649531901e-07,5.721161572536103e-06,5.024983407582913e-06
very low,-40.323035140532525,4.641588833612782e-05,0.0175,-6.073661690179426e-07,9.19933889971247e-06,8.591972730694527e-06
very low,-38.65636929898821,6.812920690579608e-05,0.0175,-1.5493240152745565e-06,1.3761108733086514e-05,1.2211784717811957e-05
very low,-36.989703843435244,0.0001,0.0175,2.496047344783636e-06,1.3041610797559489e-05,1.5537658142343125e-05
very low,-35.32303895443977,0.0001467799267622069,0.0175,-7.3350200225844985e-06,3.6519653595323826e-05,2.9184633572739327e-05
low,-33.656374897036244,0.00021544346900318823,0.0175,-1.3797755659246856e-05,6.371435926147602e-05,4.991660360222916e-05
low,-31.989712060241267,0.00031622776601683794,0.0175,-5.048570634643348e-06,6.440515100695578e-05,5.935658037231243e-05
low,-30.32305101505136,0.00046415888336127773,0.0175,7.852140084999907e-06,6.86460783092091e-05,7.6498218394209e-05
low,-28.656392599570978,0.0006812920690579609,0.0175,-2.2336638177300906e-06,0.00011233797232295115,0.00011010430850522106
low,-26.989738043961104,0.001,0.0175,3.835327279852279e-05,0.00012298200200562274,0.00016133527480414553
low,-25.323089153833557,0.0014677992676220691,0.0175,-2.18217065816261e-05,0.0002750190657827111,0.000253197359201085
medium,-23.65644857942622,0.002154434690031882,0.0175,3.978220624715589e-05,0.00046434878849262607,0.000504130994739782
medium,-21.989820210674765,0.0031622776601683794,0.0175,-6.696927228691009e-05,0.0007510704932927641,0.000684101221005854
medium,-20.32320975704835,0.004641588833612777,0.0175,-0.0001027405920001281,0.0010689335595109944,0.0009661929675108663
medium,-18.656625598523256,0.006812920690579608,0.0175,2.464633237792696e-07,0.0015526936737945655,0.0015529401371183447
medium,-16.990080034407487,0.01,0.0175,0.00016073093623701455,0.002199713360137289,0.0023604442963743037
medium,-15.323591115860552,0.01467799267622069,0.0175,-0.00013177954571409745,0.003952764777297134,0.0038209852315830364
high,-13.657185334578896,0.021544346900318822,0.0175,0.0003412746053145744,0.004370293098252526,0.0047115677035671
high,-11.990901566908294,0.03162277660168379,0.0175,0.0008067369209978359,0.007435314170855911,0.008242051091853747
high,-10.324796857973965,0.046415888336127774,0.0175,-0.0010804944176644547,0.012806666260462021,0.011726171842797567
saturation/highest,-8.658954900782547,0.06812920690579609,0.0175,-0.0011882923014391658,0.019450351638086904,0.018262059336647738
saturation/highest,-6.993498458512453,0.1,0.0175,-0.0010586247230215916,0.0313876215784395,0.03032899685541791
very low,-46.989700477654644,1e-05,0.02,-2.8826023064827984e-08,1.1239436810731946e-06,1.0951176580083666e-06
very low,-45.32303401415059,1.4677992676220705e-05,0.02,-5.519231562741324e-07,3.1217787074785015e-06,2.569855551204369e-06
very low,-43.656367645685854,2.1544346900318823e-05,0.02,-8.419321675242251e-07,3.7234890633008875e-06,2.8815568957766624e-06
very low,-41.98970141671971,3.1622776601683795e-05,0.02,-3.431917314777877e-07,4.985544504328603e-06,4.642352772850815e-06
very low,-40.32303539250947,4.641588833612782e-05,0.02,-3.272821939874024e-06,1.0526361982199356e-05,7.253540042325332e-06
very low,-38.65636966883971,6.812920690579608e-05,0.02,-5.245844198587054e-07,1.0015271866029942e-05,9.490687446171237e-06
very low,-36.98970438630283,0.0001,0.02,5.254492724541634e-06,4.466178199387844e-06,9.720670923929478e-06
very low,-35.32303975126007,0.0001467799267622069,0.02,-2.418783781784249e-06,2.4790195893276123e-05,2.2371412111491874e-05
low,-33.656376066607756,0.00021544346900318823,0.02,1.4154807197760138e-06,2.7099234655632754e-05,2.8514715375408767e-05
low,-31.989713776935854,0.00031622776601683794,0.02,-8.864186995631106e-06,5.499498388831605e-05,4.6130796892684945e-05
low,-30.323053534810917,0.00046415888336127773,0.02,1.9405339662565443e-07,7.405551795560681e-05,7.424957135223247e-05
low,-28.65639629806468,0.0006812920690579609,0.02,-2.5784610011185047e-05,0.0001458146695905604,0.00012003005957937536
low,-26.989743472591236,0.001,0.02,9.239777520268219e-06,0.00017176107025247407,0.0001810008477727423
low,-25.32309712193794,0.0014677992676220691,0.02,4.261289812657062e-05,0.00017597918811581184,0.00021859208624238247
medium,-23.656460274928715,0.002154434690031882,0.02,-2.585260535776791e-05,0.0004086098078749303,0.0003827572025171624
medium,-21.989837377162566,0.0031622776601683794,0.02,-0.00026564475874653044,0.0008989605128396858,0.0006333157540931554
medium,-20.323234953657142,0.004641588833612777,0.02,6.306542229045744e-05,0.0008581366281246611,0.0009212020504151186
