T,epsilon,SNR_dB,scheme,mean_I_AB,mean_chi_BE,mean_K_raw,std_K_raw,ci95_low,ci95_high,mean_K_positive,mean_entropy,outage_probability,repetitions
1.2710617996e-05,0.0075,-45.94803358374957,MB-global-opt,1.7328084756111178e-05,1.3949235125876314e-05,2.5124453924293023e-06,2.1588282481637755e-07,1.9761627259903946e-06,3.04872805886821e-06,2.5124453924293023e-06,4.7380473561634675,0.0,3
1.2710617996e-05,0.0075,-45.94803358374957,PS,1.791954208248588e-05,1.4097298006721104e-05,2.9262669716404823e-06,7.809749461721378e-08,2.7322620400710475e-06,3.120271903209917e-06,2.9262669716404823e-06,6.408923689874858,0.0,3
1.2710617996e-05,0.0075,-45.94803358374957,PS+GS,1.7919520828376296e-05,1.406963709960074e-05,2.9539076873567417e-06,7.809629315425133e-08,2.759905740386761e-06,3.1479096343267226e-06,2.9539076873567417e-06,6.408923689874858,0.0,3
1.3335214322e-05,0.0075,-45.739700260418616,GS,1.914225227365544e-05,2.276946188306539e-05,-4.584322223092723e-06,1.3345969351413365e-07,-4.915854480745715e-06,-4.252789965439731e-06,0.0,8.0,1.0,3
1.3335214322e-05,0.0075,-45.739700260418616,MB-fixed,1.900037663205012e-05,1.4786071043326743e-05,3.26428675712087e-06,2.0378693584623954e-07,2.7580519446294544e-06,3.7705215696122853e-06,3.26428675712087e-06,6.408923689874861,0.0,3
1.3335214322e-05,0.0075,-45.739700260418616,MB-global-opt,1.9056098837566537e-05,1.4631195386138884e-05,3.4720985095493248e-06,8.142501897496503e-07,1.4493889064174223e-06,5.494808112681227e-06,3.4720985095493248e-06,4.7380473561634675,0.0,3
1.3335214322e-05,0.0075,-45.739700260418616,PS,1.900037663264224e-05,1.4786071043326743e-05,3.2642867576833823e-06,2.037869363149577e-07,2.7580519440276066e-06,3.770521571339158e-06,3.2642867576833823e-06,6.408923689874858,0.0,3
1.3335214322e-05,0.0075,-45.739700260418616,PS+GS,1.90003601521956e-05,1.4757137647647411e-05,3.2932044969384107e-06,2.0380628332132508e-07,2.786921622654509e-06,3.7994873712223125e-06,3.2932044969384107e-06,6.408923689874858,0.0,3
1.3990503141e-05,0.0075,-45.53136693799256,GS,2.0143308524289694e-05,2.3856760329676874e-05,-4.720617231601665e-06,4.69463999709417e-07,-5.886830457574521e-06,-3.5544040056288083e-06,0.0,8.0,1.0,3
1.3990503141e-05,0.0075,-45.53136693799256,MB-fixed,2.051402844571726e-05,1.5508495011307133e-05,3.979832012124262e-06,7.926484828312432e-07,2.0107840237858882e-06,5.948880000462636e-06,3.979832012124262e-06,6.408923689874861,0.0,3
