sweep,parameter_value,comparison,first,second,mean_delta_K_raw,ci95_low_delta_K_raw,ci95_high_delta_K_raw,mean_beta_delta_I_AB,mean_negative_delta_chi_BE
beam_waist,0.12,GS-Uniform,GS,Uniform QAM,0.0012224202260396801,0.0011710835851690042,0.001273756866910356,3.55516131628486e-07,0.0012220647099080773
beam_waist,0.03,PS+GS-Uniform,PS+GS,Uniform QAM,0.00959747052817008,0.009304109942156809,0.00989083111418335,2.8062075886266106e-05,0.00956940845228382
beam_waist,0.0344999999999999,PS+GS-Uniform,PS+GS,Uniform QAM,0.010604445799807339,0.010057488079848787,0.01115140351976589,-1.2147587088607025e-05,0.010616593386895959
beam_waist,0.039,PS+GS-Uniform,PS+GS,Uniform QAM,0.01163578939887764,0.011233323438662405,0.012038255359092875,-4.976694556591693e-06,0.011640766093434281
beam_waist,0.0435,PS+GS-Uniform,PS+GS,Uniform QAM,0.01267320872484006,0.012384055563303015,0.012962361886377104,3.4779880207288363e-05,0.01263842884463268
beam_waist,0.048,PS+GS-Uniform,PS+GS,Uniform QAM,0.013342363559286561,0.012816057845223829,0.013868669273349293,2.567860421060636e-06,0.013339795698865519
beam_waist,0.0525,PS+GS-Uniform,PS+GS,Uniform QAM,0.013768989548720379,0.013147245140726016,0.014390733956714741,1.916455611465362e-06,0.013767073093108923
beam_waist,0.0569999999999999,PS+GS-Uniform,PS+GS,Uniform QAM,0.01416625912709108,0.013724271999663638,0.014608246254518521,2.565648656809305e-06,0.014163693478434219
beam_waist,0.0615,PS+GS-Uniform,PS+GS,Uniform QAM,0.014716716069865559,0.01384999241100414,0.015583439728726977,-1.0771529186213435e-05,0.014727487599051759
beam_waist,0.066,PS+GS-Uniform,PS+GS,Uniform QAM,0.01504785662897346,0.014436783325131831,0.01565892993281509,-3.446087736587805e-05,0.015082317506339284
beam_waist,0.0705,PS+GS-Uniform,PS+GS,Uniform QAM,0.015240545235923119,0.015013827910982398,0.01546726256086384,1.931502320919376e-05,0.015221230212713963
beam_waist,0.075,PS+GS-Uniform,PS+GS,Uniform QAM,0.015427973259029898,0.014897927306000255,0.01595801921205954,6.769565247381203e-06,0.015421203693782522
beam_waist,0.0794999999999999,PS+GS-Uniform,PS+GS,Uniform QAM,0.0158317680871504,0.01567424970651841,0.01598928646778239,6.521902071689012e-05,0.015766549066433502
beam_waist,0.0839999999999999,PS+GS-Uniform,PS+GS,Uniform QAM,0.015493339127533558,0.01482435746091573,0.016162320794151388,-3.654660516874228e-05,0.0155298857327023
beam_waist,0.0885,PS+GS-Uniform,PS+GS,Uniform QAM,0.01609987386085348,0.015328170265944923,0.016871577455762038,0.00011333715093102284,0.01598653670992248
beam_waist,0.093,PS+GS-Uniform,PS+GS,Uniform QAM,0.016321189473948415,0.015873544803946444,0.016768834143950386,-8.907236077083935e-06,0.01633009671002546
beam_waist,0.0974999999999999,PS+GS-Uniform,PS+GS,Uniform QAM,0.016354644307846798,0.015394196675131042,0.017315091940562553,2.274635262793853e-05,0.016331897955218878
beam_waist,0.102,PS+GS-Uniform,PS+GS,Uniform QAM,0.016207889775735822,0.015462421485484233,0.01695335806598741,-5.5253797359377656e-05,0.0162631435730952
beam_waist,0.1065,PS+GS-Uniform,PS+GS,Uniform QAM,0.01650449347961354,0.015537528709563516,0.017471458249663563,-4.7559697274546234e-07,0.016504969076586294
beam_waist,0.1109999999999999,PS+GS-Uniform,PS+GS,Uniform QAM,0.016206521677859263,0.015466626565915844,0.01694641678980268,4.3278735410422624e-05,0.01616324294244882
beam_waist,0.1154999999999999,PS+GS-Uniform,PS+GS,Uniform QAM,0.016173977417547322,0.015537032813473226,0.01681092202162142,-5.851193616158018e-06,0.01617982861116346
beam_waist,0.12,PS+GS-Uniform,PS+GS,Uniform QAM,0.01688181981251932,0.016101503801771194,0.017662135823267443,8.59749621495065e-05,0.016795844850369782
beam_waist,0.03,PS+GS-PS,PS+GS,PS,2.3039883724780553e-05,2.2239136868877277e-05,2.384063058068383e-05,-4.942464165574867e-09,2.304482618900039e-05
beam_waist,0.0344999999999999,PS+GS-PS,PS+GS,PS,2.5703931091158873e-05,2.4306343773035762e-05,2.7101518409281984e-05,-3.6497813278579816e-09,2.570758087244024e-05
beam_waist,0.039,PS+GS-PS,PS+GS,PS,2.8330885936501266e-05,2.7298094660763242e-05,2.936367721223929e-05,6.197039540828398e-09,2.8324688897021776e-05
beam_waist,0.0435,PS+GS-PS,PS+GS,PS,3.088990186399937e-05,3.015543015642424e-05,3.16243735715745e-05,-4.943160285958425e-09,3.0894845024240224e-05
beam_waist,0.048,PS+GS-PS,PS+GS,PS,3.2702116641099285e-05,3.155581393350155e-05,3.384841934869702e-05,-1.6160878376775266e-08,3.271827751952089e-05
beam_waist,0.0525,PS+GS-PS,PS+GS,PS,3.385017208907964e-05,3.2247486949902904e-05,3.545285722825638e-05,1.0406352650010885e-08,3.383976573635844e-05
beam_waist,0.0569999999999999,PS+GS-PS,PS+GS,PS,3.487587266714151e-05,3.370375274477638e-05,3.604799258950664e-05,-1.3161113977810944e-09,3.487718877850238e-05
beam_waist,0.0615,PS+GS-PS,PS+GS,PS,3.634542354577983e-05,3.42805534116993e-05,3.841029367986035e-05,1.172948620078995e-08,3.6333694059599574e-05
beam_waist,0.066,PS+GS-PS,PS+GS,PS,3.7277926698859457e-05,3.590269157296587e-05,3.8653161824753044e-05,1.841000508692736e-08,3.725951669373839e-05
