sweep,parameter_name,parameter_value,parameter_unit,scheme,mean_I_AB,std_I_AB,mean_chi_BE,std_chi_BE,mean_K_raw,std_K_raw,mean_K_positive,std_K_positive,mean_T,std_repetition_mean_T,mean_eta_atm,mean_eta_geo,mean_sigma2_turb_m2,mean_sigma2_UAV_m2,link_distance_km
beam_waist,beam_waist,0.03,m,PS,0.05839965573357346,0.001644670125543386,0.04009915267084672,0.0011503076996433011,0.01538052027604804,0.0004161490977173804,0.01538052027604804,0.0004161490977173804,0.04145215211863407,0.0012304976693874663,0.13073883451571086,0.519702450460485,0.03921460802035276,0.010177636208000001,20.0
beam_waist,beam_waist,0.03,m,PS+GS,0.0583996505309796,0.0016446790383337828,0.04007610784465772,0.001149671246555418,0.01540356015977282,0.0004167848170845111,0.01540356015977282,0.0004167848170845111,0.04145215211863407,0.0012304976693874663,0.13073883451571086,0.519702450460485,0.03921460802035276,0.010177636208000001,20.0
beam_waist,beam_waist,0.0344999999999999,m,Uniform QAM,0.06557299394048269,0.002984778872150545,0.05546818867024176,0.0024688831280522705,0.006826155573216761,0.00036745911074244884,0.006826155573216761,0.00036745911074244884,0.046730327552431804,0.002166557764338643,0.13073883451571086,0.6185968502814878,0.03742960679682191,0.010177636208000001,20.0
beam_waist,beam_waist,0.0344999999999999,m,Maxwell-Boltzmann QAM,0.06556021084857952,0.0029742564654890967,0.04487730286421454,0.0020200796894817427,0.017404897441935942,0.0008067638577816198,0.017404897441935942,0.0008067638577816198,0.046730327552431804,0.002166557764338643,0.13073883451571086,0.6185968502814878,0.03742960679682191,0.010177636208000001,20.0
beam_waist,beam_waist,0.0344999999999999,m,Binomial QAM,0.06555946684015784,0.002967222239870347,0.04501961502403146,0.0020262868425453716,0.01726187847411842,0.0007943966396966901,0.01726187847411842,0.0007943966396966901,0.046730327552431804,0.002166557764338643,0.13073883451571086,0.6185968502814878,0.03742960679682191,0.010177636208000001,20.0
beam_waist,beam_waist,0.0344999999999999,m,GS,0.06557303518954594,0.0029847800562609905,0.05468582862993043,0.0024362534116735873,0.007608554800138121,0.0004000033457790656,0.007608554800138121,0.0004000033457790656,0.046730327552431804,0.002166557764338643,0.13073883451571086,0.6185968502814878,0.03742960679682191,0.010177636208000001,20.0
beam_waist,beam_waist,0.0344999999999999,m,PS,0.06556021084858028,0.002974256465489047,0.04487730286421824,0.0020200796894818923,0.01740489744193294,0.0008067638577814437,0.01740489744193294,0.0008067638577814437,0.046730327552431804,0.002166557764338643,0.13073883451571086,0.6185968502814878,0.03742960679682191,0.010177636208000001,20.0
beam_waist,beam_waist,0.0344999999999999,m,PS+GS,0.0655602070067052,0.0029742590917155756,0.0448515952833458,0.0020189568299510356,0.017430601373024098,0.0008078862577246415,0.017430601373024098,0.0008078862577246415,0.046730327552431804,0.002166557764338643,0.13073883451571086,0.6185968502814878,0.03742960679682191,0.010177636208000001,20.0
beam_waist,beam_waist,0.039,m,Uniform QAM,0.07259917024522984,0.0021635746679609987,0.06114117485054558,0.0017790257989774465,0.00782803688242272,0.0002782076814972181,0.00782804330441674,0.00027820289596419885,0.05193617084659743,0.0015651924796154135,0.13073883451571086,0.7049670743346118,0.03593078957081414,0.010177636208000001,20.0
beam_waist,beam_waist,0.039,m,Maxwell-Boltzmann QAM,0.07259392509618054,0.0021568581275880337,0.04952873344600424,0.0014527151359227325,0.0194354953953672,0.0005971492526805726,0.0194354953953672,0.0005971492526805726,0.05193617084659743,0.0015651924796154135,0.13073883451571086,0.7049670743346118,0.03593078957081414,0.010177636208000001,20.0
