run_id,timestamp,distance_km,sigma_r,sigma_s,R,Gamma,N_samples,mean_r,std_r,min_r,max_r,mean_Ti,std_Ti,min_Ti,max_Ti,T_eff
20260501_224540,2026-05-01 22:45:40,54.2105263158,283.7921557766,200.6713577972,1.2058414404,2.0000000049,60000,251.3676948680,131.6426258707,1.5413812390,1005.2568237624,0.0000000065,0.0000006704,0.0000000000,0.0001106507,0.0000000065
20260501_224540,2026-05-01 22:45:40,54.2105263158,283.7921557766,200.6713577972,1.2058414404,2.0000000049,1,110.8161887386,0.0000000000,110.8161887386,110.8161887386,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
20260501_224540,2026-05-01 22:45:40,57.1052631579,298.9461144860,211.3868247624,1.2701040214,2.0000000036,60000,266.0843432351,139.0753354587,1.1008680004,1004.0460115866,0.0000000058,0.0000006548,0.0000000000,0.0001216719,0.0000000058
20260501_224540,2026-05-01 22:45:40,57.1052631579,298.9461144860,211.3868247624,1.2701040214,2.0000000036,1,88.9249610880,0.0000000000,88.9249610880,88.9249610880,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
20260501_224540,2026-05-01 22:45:40,57.1052631579,298.9461144860,211.3868247624,1.2701040214,2.0000000036,60000,264.1456609271,137.8645750279,0.1820439086,960.1866202900,0.0000000090,0.0000009808,0.0000000000,0.0001753331,0.0000000090
20260501_224540,2026-05-01 22:45:40,57.1052631579,298.9461144860,211.3868247624,1.2701040214,2.0000000036,1,213.2351992632,0.0000000000,213.2351992632,213.2351992632,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
20260501_224540,2026-05-01 22:45:40,60.0000000000,314.1000742142,222.1022924481,1.3343725858,2.0000000027,60000,278.3912439577,145.8350368779,1.2668116572,1044.4486777099,0.0000000028,0.0000003562,0.0000000000,0.0000800356,0.0000000028
20260501_224540,2026-05-01 22:45:40,60.0000000000,314.1000742142,222.1022924481,1.3343725858,2.0000000027,1,308.0532070107,0.0000000000,308.0532070107,308.0532070107,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
20260501_224540,2026-05-01 22:45:40,60.0000000000,314.1000742142,222.1022924481,1.3343725858,2.0000000027,60000,277.6508450546,145.8028855542,0.7601251150,1130.0692963607,0.0000000044,0.0000005840,0.0000000000,0.0001067908,0.0000000044
20260501_224540,2026-05-01 22:45:40,60.0000000000,314.1000742142,222.1022924481,1.3343725858,2.0000000027,1,173.0394797810,0.0000000000,173.0394797810,173.0394797810,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
20260501_224541,2026-05-01 22:45:41,19.0000000000,0.0070710678,0.0050000000,0.4256987375,2.0000026122,60000,0.0062521008,0.0032856718,0.0000178539,0.0236621711,0.0254976547,0.0000035290,0.0254618004,0.0255011640,0.0254976547
20260501_224541,2026-05-01 22:45:41,19.0000000000,0.0091366027,0.0064605537,0.4256987375,2.0000026122,60000,0.0080962483,0.0042339347,0.0000693366,0.0287517722,0.0254952922,0.0000058798,0.0254430667,0.0255011637,0.0254952922
20260501_224541,2026-05-01 22:45:41,19.0000000000,0.0114441626,0.0080922450,0.4256987375,2.0000026122,60000,0.0101211499,0.0053045512,0.0000355559,0.0390257478,0.0254919802,0.0000092208,0.0253942308,0.0255011640,0.0254919802
20260501_224541,2026-05-01 22:45:41,19.0000000000,0.0138735017,0.0098100471,0.4256987375,2.0000026122,60000,0.0122620086,0.0063687967,0.0000472449,0.0465814370,0.0254877382,0.0000133483,0.0253489520,0.0255011639,0.0254877382
20260501_224541,2026-05-01 22:45:41,19.0000000000,0.0163704942,0.0115756874,0.4256987375,2.0000026122,60000,0.0144930245,0.0075797079,0.0000834991,0.0602068698,0.0254823569,0.0000188618,0.0252473912,0.0255011636,0.0254823569
20260501_224541,2026-05-01 22:45:41,19.0000000000,0.0189083567,0.0133702272,0.4256987375,2.0000026122,60000,0.0167687950,0.0087582521,0.0000673234,0.0667441666,0.0254760072,0.0000250465,0.0251896458,0.0255011638,0.0254760072
20260501_224541,2026-05-01 22:45:41,19.0000000000,0.0214726026,0.0151834229,0.4256987375,2.0000026122,60000,0.0190186560,0.0099608048,0.0000829520,0.0724682163,0.0254687749,0.0000324627,0.0251343248,0.0255011636,0.0254687749
20260501_224541,2026-05-01 22:45:41,19.0000000000,0.0240547962,0.0170093095,0.4256987375,2.0000026122,60000,0.0213396742,0.0111990197,0.0001576476,0.0831742408,0.0254603650,0.0000409192,0.0250190354,0.0255011623,0.0254603650
20260501_224541,2026-05-01 22:45:41,19.0000000000,0.0266497207,0.0188441982,0.4256987375,2.0000026122,60000,0.0236735603,0.0123686864,0.0001183812,0.0867037846,0.0254510665,0.0000499090,0.0249776801,0.0255011631,0.0254510665
20260501_224541,2026-05-01 22:45:41,19.0000000000,0.0292539886,0.0206856937,0.4256987375,2.0000026122,60000,0.0260078968,0.0136029505,0.0000123995,0.0940758677,0.0254406967,0.0000603624,0.0248860036,0.0255011641,0.0254406967
20260501_224542,2026-05-01 22:45:42,19.0000000000,0.0318653091,0.0225321761,0.4256987375,2.0000026122,60000,0.0280990507,0.0146799132,0.0002033776,0.1004159586,0.0254306442,0.0000702705,0.0248014801,0.0255011612,0.0254306442
20260501_224542,2026-05-01 22:45:42,19.0000000000,0.0344820800,0.0243825126,0.4256987375,2.0000026122,60000,0.0305640121,0.0159598040,0.0001920449,0.1126586345,0.0254177878,0.0000827439,0.0246236161,0.0255011615,0.0254177878
20260501_224542,2026-05-01 22:45:42,19.0000000000,0.0371031481,0.0262358876,0.4256987375,2.0000026122,60000,0.0328715301,0.0171719526,0.0001578540,0.1258642971,0.0254047567,0.0000960981,0.0244105469,0.0255011623,0.0254047567
20260501_224542,2026-05-01 22:45:42,19.0000000000,0.0397276629,0.0280916998,0.4256987375,2.0000026122,60000,0.0352079432,0.0183477603,0.0001931771,0.1368486926,0.0253907380,0.0001092932,0.0242169618,0.0255011614,0.0253907380
20260501_224542,2026-05-01 22:45:42,19.0000000000,0.0423549836,0.0299494961,0.4256987375,2.0000026122,60000,0.0374448677,0.0196020523,0.0001259007,0.1774258571,0.0253760939,0.0001246005,0.0233797075,0.0255011630,0.0253760939
20260501_224542,2026-05-01 22:45:42,19.0000000000,0.0449846187,0.0318089289,0.4256987375,2.0000026122,60000,0.0397305333,0.0206957032,0.0003231693,0.1475684533,0.0253607406,0.0001393759,0.0240141002,0.0255011567,0.0253607406
20260501_224542,2026-05-01 22:45:42,19.0000000000,0.0476161846,0.0336697270,0.4256987375,2.0000026122,60000,0.0423755242,0.0221267910,0.0000694740,0.1550163546,0.0253413818,0.0001590227,0.0238652455,0.0255011637,0.0253413818
20260501_224542,2026-05-01 22:45:42,19.0000000000,0.0502493781,0.0355316760,0.4256987375,2.0000026122,60000,0.0443998338,0.0230516847,0.0001986894,0.1746814365,0.0253262685,0.0001718984,0.0234421253,0.0255011613,0.0253262685
20260501_224542,2026-05-01 22:45:42,19.0000000000,0.0158113883,0.0111803399,0.4256987375,2.0000026122,60000,0.0140109956,0.0073181310,0.0000749514,0.0699602833,0.0254835960,0.0000175290,0.0251591080,0.0255011637,0.0254835960
20260501_224543,2026-05-01 22:45:43,19.0000000000,0.0168367903,0.0119054086,0.4256987375,2.0000026122,60000,0.0149066870,0.0078212329,0.0000542800,0.0578952367,0.0254812413,0.0000200881,0.0252664160,0.0255011639,0.0254812413
20260501_224543,2026-05-01 22:45:43,19.0000000000,0.0181925495,0.0128640751,0.4256987375,2.0000026122,60000,0.0161044998,0.0084205005,0.0000702634,0.0611155455,0.0254779484,0.0000232569,0.0252397129,0.0255011637,0.0254779484
20260501_224543,2026-05-01 22:45:43,19.0000000000,0.0198109578,0.0140084626,0.4256987375,2.0000026122,60000,0.0175799634,0.0092201179,0.0000193121,0.0661037581,0.0254734681,0.0000278159,0.0251955593,0.0255011640,0.0254734681
20260501_224543,2026-05-01 22:45:43,19.0000000000,0.0216331477,0.0152969454,0.4256987375,2.0000026122,60000,0.0192102921,0.0100097044,0.0000833510,0.0711425890,0.0254681919,0.0000328430,0.0251475303,0.0255011636,0.0254681919
20260501_224543,2026-05-01 22:45:43,19.0000000000,0.0236119875,0.0166961964,0.4256987375,2.0000026122,60000,0.0208929913,0.0109118184,0.0001027602,0.0809472910,0.0254621331,0.0000388792,0.0250442777,0.0255011633,0.0254621331
20260501_224543,2026-05-01 22:45:43,19.0000000000,0.0257113334,0.0181806582,0.4256987375,2.0000026122,60000,0.0228345492,0.0119096483,0.0000990820,0.0887030725,0.0254545828,0.0000464007,0.0249535239,0.0255011634,0.0254545828
20260501_224543,2026-05-01 22:45:43,19.0000000000,0.0279040000,0.0197311076,0.4256987375,2.0000026122,60000,0.0247384761,0.0129467934,0.0001574945,0.0905150781,0.0254464291,0.0000547583,0.0249311757,0.0255011623,0.0254464291
20260501_224543,2026-05-01 22:45:43,19.0000000000,0.0301696472,0.0213331621,0.4256987375,2.0000026122,60000,0.0267550980,0.0139653533,0.0001689139,0.0974952798,0.0254372360,0.0000635195,0.0248410662,0.0255011621,0.0254372360
20260501_224543,2026-05-01 22:45:43,19.0000000000,0.0324930123,0.0229760293,0.4256987375,2.0000026122,60000,0.0286988933,0.0150038186,0.0002023169,0.1084631649,0.0254275874,0.0000731405,0.0246867241,0.0255011612,0.0254275874
20260501_224543,2026-05-01 22:45:43,19.0000000000,0.0348625576,0.0246515509,0.4256987375,2.0000026122,60000,0.0307872028,0.0161100944,0.0000526041,0.1104758663,0.0254164955,0.0000845513,0.0246567279,0.0255011639,0.0254164955
20260501_224544,2026-05-01 22:45:44,19.0000000000,0.0372694760,0.0263534992,0.4256987375,2.0000026122,60000,0.0329764351,0.0172515218,0.0001272883,0.1198665856,0.0254040826,0.0000966367,0.0245100120,0.0255011629,0.0254040826
20260501_224544,2026-05-01 22:45:44,19.0000000000,0.0397069717,0.0280770689,0.4256987375,2.0000026122,60000,0.0352995177,0.0183022340,0.0001866101,0.1312781650,0.0253904028,0.0001093535,0.0243169655,0.0255011616,0.0253904028
