run_id,timestamp,distance_km,V_A,beta,I_AB,chi_BE,Delta,epsilon_total,n_block,N_block,SKR,SKR_clipped
20260501_224541,2026-05-01 22:45:41,19.0000000000,2.6000000000,0.9500000000,0.0118292752,0.0170974353,0.0181933236,0.0000000300,100000000,100000000,-0.0058596238,0.0000000000
20260501_224542,2026-05-01 22:45:42,19.0000000000,2.6000000000,0.9500000000,0.0118246097,0.0170908599,0.0181933236,0.0000000300,100000000,100000000,-0.0058574806,0.0000000000
20260501_224542,2026-05-01 22:45:42,19.0000000000,2.6000000000,0.9500000000,0.0118186429,0.0170824501,0.0181933236,0.0000000300,100000000,100000000,-0.0058547393,0.0000000000
20260501_224542,2026-05-01 22:45:42,19.0000000000,2.6000000000,0.9500000000,0.0118125950,0.0170739258,0.0181933236,0.0000000300,100000000,100000000,-0.0058519606,0.0000000000
20260501_224542,2026-05-01 22:45:42,19.0000000000,2.6000000000,0.9500000000,0.0118060886,0.0170647552,0.0181933236,0.0000000300,100000000,100000000,-0.0058489710,0.0000000000
20260501_224542,2026-05-01 22:45:42,19.0000000000,2.6000000000,0.9500000000,0.0117992921,0.0170551753,0.0181933236,0.0000000300,100000000,100000000,-0.0058458478,0.0000000000
20260501_224542,2026-05-01 22:45:42,19.0000000000,2.6000000000,0.9500000000,0.0117921663,0.0170451311,0.0181933236,0.0000000300,100000000,100000000,-0.0058425731,0.0000000000
20260501_224542,2026-05-01 22:45:42,19.0000000000,2.6000000000,0.9500000000,0.0117831816,0.0170324660,0.0181933236,0.0000000300,100000000,100000000,-0.0058384435,0.0000000000
20260501_224542,2026-05-01 22:45:42,19.0000000000,2.6000000000,0.9500000000,0.0117761672,0.0170225780,0.0181933236,0.0000000300,100000000,100000000,-0.0058352192,0.0000000000
20260501_224542,2026-05-01 22:45:42,19.0000000000,2.6000000000,0.9500000000,0.0118491853,0.0171254947,0.0181933236,0.0000000300,100000000,100000000,-0.0058687687,0.0000000000
20260501_224543,2026-05-01 22:45:43,19.0000000000,2.6000000000,0.9500000000,0.0118480925,0.0171239547,0.0181933236,0.0000000300,100000000,100000000,-0.0058682668,0.0000000000
20260501_224543,2026-05-01 22:45:43,19.0000000000,2.6000000000,0.9500000000,0.0118465642,0.0171218010,0.0181933236,0.0000000300,100000000,100000000,-0.0058675650,0.0000000000
20260501_224543,2026-05-01 22:45:43,19.0000000000,2.6000000000,0.9500000000,0.0118444848,0.0171188706,0.0181933236,0.0000000300,100000000,100000000,-0.0058666100,0.0000000000
