run_id,timestamp,distance_km,T_eff,eta_atm,eta_geo,chi_line,chi_hom,chi_tot,X_tot,epsilon_bg,epsilon_RIN_s,epsilon_mod,epsilon_ch,epsilon_det,eta_det,V_ele
20260501_224541,2026-05-01 22:45:41,19.0000000000,0.0254919802,0.1447386037,0.0310421114,38.2288236215,1.0260000000,78.4767758571,78.4767758571,0.0002000000,0.0001000000,0.0005000000,0.0008000000,0.0130000000,0.5000000000,0.1000000000
20260501_224541,2026-05-01 22:45:41,19.0000000000,0.0254877382,0.1447386037,0.0310421114,38.2353523795,1.0260000000,78.4900031208,78.4900031208,0.0002000000,0.0001000000,0.0005000000,0.0008000000,0.0130000000,0.5000000000,0.1000000000
20260501_224541,2026-05-01 22:45:41,19.0000000000,0.0254823569,0.1447386037,0.0310421114,38.2436378652,1.0260000000,78.5067895149,78.5067895149,0.0002000000,0.0001000000,0.0005000000,0.0008000000,0.0130000000,0.5000000000,0.1000000000
20260501_224541,2026-05-01 22:45:41,19.0000000000,0.0254760072,0.1447386037,0.0310421114,38.2534187665,1.0260000000,78.5266056210,78.5266056210,0.0002000000,0.0001000000,0.0005000000,0.0008000000,0.0130000000,0.5000000000,0.1000000000
20260501_224541,2026-05-01 22:45:41,19.0000000000,0.0254687749,0.1447386037,0.0310421114,38.2645653481,1.0260000000,78.5491885952,78.5491885952,0.0002000000,0.0001000000,0.0005000000,0.0008000000,0.0130000000,0.5000000000,0.1000000000
20260501_224541,2026-05-01 22:45:41,19.0000000000,0.0254603650,0.1447386037,0.0310421114,38.2775346232,1.0260000000,78.5754643467,78.5754643467,0.0002000000,0.0001000000,0.0005000000,0.0008000000,0.0130000000,0.5000000000,0.1000000000
20260501_224541,2026-05-01 22:45:41,19.0000000000,0.0254510665,0.1447386037,0.0310421114,38.2918842651,1.0260000000,78.6045367212,78.6045367212,0.0002000000,0.0001000000,0.0005000000,0.0008000000,0.0130000000,0.5000000000,0.1000000000
20260501_224541,2026-05-01 22:45:41,19.0000000000,0.0254406967,0.1447386037,0.0310421114,38.3078997078,1.0260000000,78.6369840080,78.6369840080,0.0002000000,0.0001000000,0.0005000000,0.0008000000,0.0130000000,0.5000000000,0.1000000000
20260501_224542,2026-05-01 22:45:42,19.0000000000,0.0254306442,0.1447386037,0.0310421114,38.3234373344,1.0260000000,78.6684632394,78.6684632394,0.0002000000,0.0001000000,0.0005000000,0.0008000000,0.0130000000,0.5000000000,0.1000000000
20260501_224542,2026-05-01 22:45:42,19.0000000000,0.0254177878,0.1447386037,0.0310421114,38.3433269100,1.0260000000,78.7087595196,78.7087595196,0.0002000000,0.0001000000,0.0005000000,0.0008000000,0.0130000000,0.5000000000,0.1000000000
