run_id,timestamp,distance_km,visibility_km,lambda_nm,xi_km_inv,loss_db_per_km,L_link_km,eta_atm,loss_total_db,eta_sys,eta_geo,T0
20260506_001227,2026-05-06 00:12:27,20.0000000000,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,20.0000000000,0.1578042402,8.2981028592,1.0000000000,0.9380283687,0.9685186466
20260506_001228,2026-05-06 00:12:28,20.0000000000,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,20.0000000000,0.1578042402,8.2992340874,1.0000000000,0.9380283687,0.9685186466
20260506_001228,2026-05-06 00:12:28,20.0000000000,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,20.0000000000,0.1578042402,8.3008535205,1.0000000000,0.9380283687,0.9685186466
20260506_001228,2026-05-06 00:12:28,20.0000000000,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,20.0000000000,0.1578042402,8.3031488313,1.0000000000,0.9380283687,0.9685186466
20260506_001228,2026-05-06 00:12:28,20.0000000000,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,20.0000000000,0.1578042402,8.3060909559,1.0000000000,0.9380283687,0.9685186466
20260506_001228,2026-05-06 00:12:28,20.0000000000,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,20.0000000000,0.1578042402,8.3097337439,1.0000000000,0.9380283687,0.9685186466
20260506_001229,2026-05-06 00:12:29,20.0000000000,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,20.0000000000,0.1578042402,8.3142652586,1.0000000000,0.9380283687,0.9685186466
20260506_001229,2026-05-06 00:12:29,20.0000000000,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,20.0000000000,0.1578042402,8.3195540832,1.0000000000,0.9380283687,0.9685186466
20260506_001229,2026-05-06 00:12:29,20.0000000000,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,20.0000000000,0.1578042402,8.3258308161,1.0000000000,0.9380283687,0.9685186466
20260506_001229,2026-05-06 00:12:29,20.0000000000,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,20.0000000000,0.1578042402,8.3321878185,1.0000000000,0.9380283687,0.9685186466
20260506_001229,2026-05-06 00:12:29,20.0000000000,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,20.0000000000,0.1578042402,8.3406856896,1.0000000000,0.9380283687,0.9685186466
20260506_001230,2026-05-06 00:12:30,20.0000000000,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,20.0000000000,0.1578042402,8.3497180896,1.0000000000,0.9380283687,0.9685186466
20260506_001230,2026-05-06 00:12:30,20.0000000000,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,20.0000000000,0.1578042402,8.3597327660,1.0000000000,0.9380283687,0.9685186466
20260506_001230,2026-05-06 00:12:30,20.0000000000,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,20.0000000000,0.1578042402,8.3706762066,1.0000000000,0.9380283687,0.9685186466
20260506_001230,2026-05-06 00:12:30,20.0000000000,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,20.0000000000,0.1578042402,8.3824007302,1.0000000000,0.9380283687,0.9685186466
20260506_001230,2026-05-06 00:12:30,20.0000000000,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,20.0000000000,0.1578042402,8.3977809477,1.0000000000,0.9380283687,0.9685186466
20260506_001231,2026-05-06 00:12:31,20.0000000000,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,20.0000000000,0.1578042402,8.4099129867,1.0000000000,0.9380283687,0.9685186466
20260506_001231,2026-05-06 00:12:31,20.0000000000,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,20.0000000000,0.1578042402,8.3025975526,1.0000000000,0.9380283687,0.9685186466
20260506_001231,2026-05-06 00:12:31,20.0000000000,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,20.0000000000,0.1578042402,8.3036546952,1.0000000000,0.9380283687,0.9685186466
20260506_001231,2026-05-06 00:12:31,20.0000000000,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,20.0000000000,0.1578042402,8.3051716759,1.0000000000,0.9380283687,0.9685186466
20260506_001231,2026-05-06 00:12:31,20.0000000000,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,20.0000000000,0.1578042402,8.3073496236,1.0000000000,0.9380283687,0.9685186466
20260506_001232,2026-05-06 00:12:32,20.0000000000,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,20.0000000000,0.1578042402,8.3100197806,1.0000000000,0.9380283687,0.9685186466
20260506_001232,2026-05-06 00:12:32,20.0000000000,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,20.0000000000,0.1578042402,8.3132643990,1.0000000000,0.9380283687,0.9685186466
20260506_001232,2026-05-06 00:12:32,20.0000000000,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,20.0000000000,0.1578042402,8.3175066430,1.0000000000,0.9380283687,0.9685186466
