run_id,timestamp,distance_km,T_eff,chi_tot,eta_atm,loss_total_db,SKR,status
20260501_224543,2026-05-01 22:45:43,19.0000000000,0.0254681919,78.5510093359,0.1447386037,15.9400188580,-0.0058654853,outage
20260501_224543,2026-05-01 22:45:43,19.0000000000,0.0254621331,78.5699385962,0.1447386037,15.9410521545,-0.0058641938,outage
20260501_224543,2026-05-01 22:45:43,19.0000000000,0.0254545828,78.5935403891,0.1447386037,15.9423401675,-0.0058625842,outage
20260501_224543,2026-05-01 22:45:43,19.0000000000,0.0254464291,78.6190440800,0.1447386037,15.9437315429,-0.0058608460,outage
20260501_224543,2026-05-01 22:45:43,19.0000000000,0.0254372360,78.6478181540,0.1447386037,15.9453008019,-0.0058588860,outage
20260501_224543,2026-05-01 22:45:43,19.0000000000,0.0254275874,78.6780405108,0.1447386037,15.9469484358,-0.0058568288,outage
20260501_224543,2026-05-01 22:45:43,19.0000000000,0.0254164955,78.7128121146,0.1447386037,15.9488433084,-0.0058544638,outage
20260501_224544,2026-05-01 22:45:44,19.0000000000,0.0254040826,78.7517609748,0.1447386037,15.9509648385,-0.0058518169,outage
20260501_224544,2026-05-01 22:45:44,19.0000000000,0.0253904028,78.7947289686,0.1447386037,15.9533040878,-0.0058488996,outage
20260501_224544,2026-05-01 22:45:44,19.0000000000,0.0253767790,78.8375672001,0.1447386037,15.9556350189,-0.0058459940,outage
20260501_224544,2026-05-01 22:45:44,19.0000000000,0.0253619716,78.8841792974,0.1447386037,15.9581698747,-0.0058428356,outage
20260501_224544,2026-05-01 22:45:44,19.0000000000,0.0253450451,78.9375290529,0.1447386037,15.9610693228,-0.0058392250,outage
20260501_224544,2026-05-01 22:45:44,19.0000000000,0.0253282769,78.9904497287,0.1447386037,15.9639435401,-0.0058356477,outage
20260501_224544,2026-05-01 22:45:44,19.0000000000,0.0253112564,79.0442387163,0.1447386037,15.9668629690,-0.0058320162,outage
20260501_224544,2026-05-01 22:45:44,19.0000000000,0.0254359029,78.6519924427,0.1447386037,15.9455284090,-0.0058586018,outage
20260501_224544,2026-05-01 22:45:44,19.0000000000,0.0254336943,78.6589094247,0.1447386037,15.9459055379,-0.0058581309,outage
20260501_224544,2026-05-01 22:45:44,19.0000000000,0.0254304895,78.6689479401,0.1447386037,15.9464528014,-0.0058574476,outage
20260501_224545,2026-05-01 22:45:45,19.0000000000,0.0254258043,78.6836284282,0.1447386037,15.9472530042,-0.0058564486,outage
20260501_224545,2026-05-01 22:45:45,19.0000000000,0.0254208571,78.6991357074,0.1447386037,15.9480981136,-0.0058553938,outage
20260501_224545,2026-05-01 22:45:45,19.0000000000,0.0254149269,78.7177320818,0.1447386037,15.9491113544,-0.0058541293,outage
20260501_224545,2026-05-01 22:45:45,19.0000000000,0.0254070520,78.7424401606,0.1447386037,15.9504572315,-0.0058524501,outage
20260501_224545,2026-05-01 22:45:45,19.0000000000,0.0253988446,78.7682080842,0.1447386037,15.9518603954,-0.0058506998,outage
20260501_224545,2026-05-01 22:45:45,19.0000000000,0.0253902965,78.7950630733,0.1447386037,15.9533222720,-0.0058488769,outage
20260501_224545,2026-05-01 22:45:45,19.0000000000,0.0253796466,78.8285468181,0.1447386037,15.9551443022,-0.0058466055,outage
20260501_224545,2026-05-01 22:45:45,19.0000000000,0.0253686711,78.8630833891,0.1447386037,15.9570228218,-0.0058442646,outage
20260501_224545,2026-05-01 22:45:45,19.0000000000,0.0253570018,78.8998359258,0.1447386037,15.9590209806,-0.0058417755,outage
20260501_224546,2026-05-01 22:45:46,19.0000000000,0.0253443396,78.9397541508,0.1447386037,15.9611902102,-0.0058390745,outage
20260501_224546,2026-05-01 22:45:46,19.0000000000,0.0253293098,78.9871879621,0.1447386037,15.9637664427,-0.0058358681,outage
20260501_224546,2026-05-01 22:45:46,19.0000000000,0.0253154817,79.0308788778,0.1447386037,15.9661380391,-0.0058329178,outage
20260501_224546,2026-05-01 22:45:46,19.0000000000,0.0252993023,79.0820599365,0.1447386037,15.9689145635,-0.0058294655,outage
20260501_224546,2026-05-01 22:45:46,19.0000000000,0.0252815280,79.1383614388,0.1447386037,15.9719668183,-0.0058256725,outage
20260501_224546,2026-05-01 22:45:46,19.0000000000,0.0252645914,79.1920829928,0.1447386037,15.9748772085,-0.0058220579,outage
20260501_224546,2026-05-01 22:45:46,19.0000000000,0.0000012651,1601398.4748075982,0.1447386037,58.9786024050,-0.0000003166,outage
20260501_224546,2026-05-01 22:45:46,19.0000000000,0.0000015150,1337317.2325551535,0.1447386037,58.1959532439,-0.0000003790,outage
20260501_224546,2026-05-01 22:45:46,19.0000000000,0.0000019461,1041073.5586285691,0.1447386037,57.1084239213,-0.0000004867,outage
20260501_224547,2026-05-01 22:45:47,19.0000000000,0.0000016537,1225113.7001231636,0.1447386037,57.8153730968,-0.0000004137,outage
20260501_224547,2026-05-01 22:45:47,19.0000000000,0.0000013825,1465411.7447722026,0.1447386037,58.5932052304,-0.0000003459,outage
20260501_224547,2026-05-01 22:45:47,19.0000000000,0.0000007696,2632554.3276644228,0.1447386037,61.1373806624,-0.0000001927,outage
20260501_224547,2026-05-01 22:45:47,19.0000000000,0.0000003044,6656401.8429256920,0.1447386037,65.1660015634,-0.0000000763,outage
20260501_224547,2026-05-01 22:45:47,19.0000000000,0.0000008798,2302782.0586824650,0.1447386037,60.5561358456,-0.0000002203,outage
20260501_224547,2026-05-01 22:45:47,19.0000000000,0.0000006555,3090558.2383709773,0.1447386037,61.8339763122,-0.0000001642,outage
20260501_224547,2026-05-01 22:45:47,19.0000000000,0.0000013529,1497487.0809568232,0.1447386037,58.6872393311,-0.0000003385,outage
20260501_224547,2026-05-01 22:45:47,19.0000000000,0.0000010845,1868196.1111256825,0.1447386037,59.6478325497,-0.0000002714,outage
20260501_224547,2026-05-01 22:45:47,19.0000000000,0.0000010676,1897800.3586789933,0.1447386037,59.7161131201,-0.0000002672,outage
20260501_224548,2026-05-01 22:45:48,19.0000000000,0.0000014070,1439897.8626247442,0.1447386037,58.5169254739,-0.0000003521,outage
20260501_224548,2026-05-01 22:45:48,19.0000000000,0.0000003281,6175638.9678653087,0.1447386037,64.8404252816,-0.0000000822,outage
20260501_224548,2026-05-01 22:45:48,19.0000000000,0.0000005105,3968928.3454267140,0.1447386037,62.9203392659,-0.0000001279,outage
20260501_224548,2026-05-01 22:45:48,19.0000000000,0.0000007510,2697582.8603031165,0.1447386037,61.2433551341,-0.0000001881,outage
20260501_224548,2026-05-01 22:45:48,19.0000000000,0.0000012858,1575700.0478437347,0.1447386037,58.9083438258,-0.0000003217,outage
20260501_224548,2026-05-01 22:45:48,19.0000000000,0.0000011005,1841011.5734134975,0.1447386037,59.5841731337,-0.0000002754,outage
20260501_224548,2026-05-01 22:45:48,19.0000000000,0.0000008292,2443433.3653597455,0.1447386037,60.8136123649,-0.0000002076,outage
20260501_224548,2026-05-01 22:45:48,19.0000000000,0.0000017554,1154179.5968441535,0.1447386037,57.5563432770,-0.0000004391,outage
20260501_224549,2026-05-01 22:45:49,19.0000000000,0.0000017386,1165280.4901581374,0.1447386037,57.5979140666,-0.0000004349,outage
20260501_224549,2026-05-01 22:45:49,19.0000000000,0.0000008825,2295687.7738154521,0.1447386037,60.5427356930,-0.0000002209,outage
20260501_224549,2026-05-01 22:45:49,19.0000000000,0.0000027069,748451.8823006263,0.1447386037,55.6752502371,-0.0000006768,outage
20260501_224549,2026-05-01 22:45:49,19.0000000000,0.0000009591,2112321.4835245959,0.1447386037,60.1812078050,-0.0000002401,outage
20260501_224549,2026-05-01 22:45:49,19.0000000000,0.0000010574,1916024.3619058421,0.1447386037,59.7576181221,-0.0000002647,outage
20260501_224549,2026-05-01 22:45:49,19.0000000000,0.0000011402,1776868.6702326005,0.1447386037,59.4301613314,-0.0000002854,outage
20260501_224549,2026-05-01 22:45:49,19.0000000000,0.0000015371,1318032.1171598316,0.1447386037,58.1328688128,-0.0000003846,outage
20260501_224549,2026-05-01 22:45:49,19.0000000000,0.0000020970,966127.4225203323,0.1447386037,56.7839541742,-0.0000005245,outage
20260501_224549,2026-05-01 22:45:49,19.0000000000,0.0000007810,2594106.1069220845,0.1447386037,61.0734846235,-0.0000001955,outage
20260501_224550,2026-05-01 22:45:50,19.0000000000,0.0000012660,1600271.0459972471,0.1447386037,58.9755437768,-0.0000003168,outage
20260501_224550,2026-05-01 22:45:50,19.0000000000,0.0000009551,2121234.1262139576,0.1447386037,60.1994936894,-0.0000002391,outage
20260501_224550,2026-05-01 22:45:50,19.0000000000,0.0000006572,3082638.6773274383,0.1447386037,61.8228332287,-0.0000001646,outage
20260501_224550,2026-05-01 22:45:50,19.0000000000,0.0000006547,3094420.5181269245,0.1447386037,61.8394003129,-0.0000001640,outage
20260501_224550,2026-05-01 22:45:50,5.0000000000,0.0000181892,111383.5195200148,0.6013137742,47.4018539163,-0.0000045376,outage
20260501_224550,2026-05-01 22:45:50,7.8947368421,0.0000114676,176669.9364526408,0.4479322644,49.4052566805,-0.0000028624,outage
20260501_224550,2026-05-01 22:45:50,10.7894736842,0.0000041551,487590.3373908037,0.3336749001,53.8141653955,-0.0000010384,outage
20260501_224550,2026-05-01 22:45:50,13.6842105263,0.0000036544,554403.3244587344,0.2485619987,54.3718716755,-0.0000009134,outage
20260501_224551,2026-05-01 22:45:51,16.5789473684,0.0000006142,3298845.4092330555,0.1851594687,62.1172265460,-0.0000001538,outage
20260501_224551,2026-05-01 22:45:51,19.4736842105,0.0000007403,2736765.0668573119,0.1379294865,61.3059823525,-0.0000001854,outage
20260501_224551,2026-05-01 22:45:51,22.3684210526,0.0000001778,11394000.2157693394,0.1027468019,67.5003682041,-0.0000000446,outage
20260501_224551,2026-05-01 22:45:51,25.2631578947,0.0000004207,4815869.8855871791,0.0765384224,63.7603539379,-0.0000001054,outage
20260501_224551,2026-05-01 22:45:51,28.1578947368,0.0000002567,7891904.8384027667,0.0570152062,65.9054245380,-0.0000000644,outage
20260501_224551,2026-05-01 22:45:51,31.0526315789,0.0000001178,17197888.0118158907,0.0424719199,69.2883570082,-0.0000000296,outage
20260501_224551,2026-05-01 22:45:51,33.9473684211,0.0000000602,33639969.1552354991,0.0316382961,72.2021616079,-0.0000000151,outage
20260501_224551,2026-05-01 22:45:51,36.8421052632,0.0000000459,44092316.1592130512,0.0235680841,73.3772348163,-0.0000000115,outage
20260501_224551,2026-05-01 22:45:51,39.7368421053,0.0000000849,23874136.5419311002,0.0175564003,70.7128825052,-0.0000000213,outage
20260501_224551,2026-05-01 22:45:51,42.6315789474,0.0000000200,101436534.5148376822,0.0130781606,76.9955496678,-0.0000000050,outage
20260501_224552,2026-05-01 22:45:52,45.5263157895,0.0000000285,71188648.0908921361,0.0097422184,75.4577131061,-0.0000000072,outage
20260501_224552,2026-05-01 22:45:52,48.4210526316,0.0000000079,255760925.6522743702,0.0072571994,81.0119475574,-0.0000000020,outage
20260501_224552,2026-05-01 22:45:52,51.3157894737,0.0000000276,73403841.2885757834,0.0054060524,75.5907935242,-0.0000000069,outage
